# Pathway HUMAnN v4.0.0.alpha.1	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	55730.8607665897	57955.0769168235	54303.7683006028	53477.6493323315	24880.2632432443	53767.8553801913	31621.7069830158	26403.2598739939	28092.5194977737	30474.1009398182	26150.9424945563	28241.1491827705	31441.5273114980	28500.2264501739	29088.3547528553	33054.4450485507	46053.7153967984	28688.2349615283	27543.7342457137	27816.4783085650	31343.3174908274	27423.5412244693	31853.0049056457	30582.4721089077	27836.6352991416	26947.7311360471	27964.2741670563	51693.6486368098	31311.3114740230	28808.8046504040	33814.3070064259	30755.0093779209	27397.0810412961	26791.8191682718	33673.3073391522	29680.9417097248	53100.0613107707	50839.4468025732	53067.2924570723	58840.2751390914
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	11213.2411767874	8426.3575669402	9720.9630632050	23221.5461401264	6963.9812637706	11633.4617827360	2145.4676386623	1885.3930594342	5818.8650009902	7452.8337392449	6196.3326880242	4589.7338807189	15402.4122049012	750.0432930460	5804.5073503594	15360.0252550277	8578.0770940168	4550.7346276420	6019.4700570068	3668.0873580052	3698.8640263895	7956.4403750001	5145.9866143737	6443.0241680329	4652.4046961427	5085.2635136816	5655.3670849341	9547.3646330626	5373.3928239050	2363.3504274912	4786.6127079471	6428.4374159774	6138.3142797177	5321.6675984459	3030.8383003142	7261.0661014316	11154.8715443790	15314.2473454946	7461.2302982164	5134.5649439306
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	413.4139027921	128.2314927245	715.8962072668	1994.9272720798	2319.2803323159	3827.3414234175	38.0307997730	686.9528800664	100.7954016270	207.9677929568	370.6524869197	285.1158696187	8823.3567751886	66.3557392764	281.8024324571	403.1043112716	537.8640603405	190.2464512978	19.3231781516	110.1993957045	206.8901839126	2257.0953373154	323.9577612163	592.6886848010	528.6699937235	304.7296116603	408.3094755033	2182.5361734529	1717.7311171096	0	0	0	437.5577055065	144.3332844376	418.6650541033	52.6075989361	3536.2151025090	2193.6004704385	653.1662740369	188.1824049952
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	8062.4458498245	6084.2551024480	1531.7673706069	2576.2639898063	4512.2986884425	9838.8848406611	408.5770756279	1123.7747247276	3597.4851622528	2032.3796801932	4974.9012039679	5108.9383733883	5859.4836566107	601.2664115559	3341.4362087080	591.5221051857	8075.9459873914	901.9131914112	1377.6947256140	4445.3575906044	437.7645272716	2334.8367484931	6445.5912125543	3000.6984959539	5591.3616726472	4694.6567094246	3403.5113815218	8129.8103520417	2151.5302573989	3745.0828583860	447.3979106172	1394.8853691424	4726.2920549525	5059.6754499528	589.4175494177	3027.9226561108	3546.0102002134	10349.9794795661	8701.2334866818	1671.2793136857
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	48658.2042316495	46423.6077726525	59352.8173878769	58180.2147905460	22609.2009424445	51257.6271170935	32353.9970734038	27304.4579918688	26637.4647293633	28274.1916913161	22421.6373828817	21941.6734674312	25975.5892002267	27928.0152892713	26421.0746743274	37523.0831010135	42529.2561683449	27742.0633002114	27226.0117727212	21372.7520273929	32535.7994931642	24050.2661570079	28178.2798789803	32311.8365520391	23412.7064616716	21936.3417776696	25805.0543032991	46684.4723773687	27361.3211912855	26958.7248703285	38411.0093009748	27809.8487154271	24006.1118421137	26117.9373152835	35815.5518823586	31782.0858558357	50152.0675372304	43797.8615854894	46609.2372898270	53951.8601133527
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	47923.6820116785	45442.3355335642	58274.6452316031	57987.8225792904	22364.0424553036	50591.7207016551	32206.8307200972	26828.5308311315	25946.5920236589	28858.3733118615	21714.8543538669	20777.5266163675	26751.5644638764	27810.6258719006	26454.4852439633	38131.2338647158	41950.1994430770	27796.6650064226	26838.3963415312	21139.2971837457	32262.6604870884	24398.4636803623	28039.2787498873	31781.4580024951	22793.2061109247	20574.1672643466	25451.5395343223	45597.5056893588	27503.0041200280	26640.6410445009	37307.3168241945	27869.0439208131	23936.6892752835	25490.3479015610	35438.1028704830	30538.1715144592	49693.5933843506	43304.1634742092	44106.9904237752	53843.4805532524
ARO-PWY: chorismate biosynthesis I	49829.0845890133	49311.9692815651	56348.6279667934	52873.3726219606	24776.8783448222	50584.2552089505	30459.4765411788	25283.1100222799	26480.0859093537	30669.4991526582	24850.1420259189	23665.6781784495	27539.5402887792	29562.1800344833	28340.5039726411	30684.2578375396	43134.8687375553	27447.9607183367	27150.8932849362	24726.5430706197	32219.9152534623	25758.0612091660	31821.5626647369	30336.2862892107	25896.4757236512	24480.5334052812	26388.1413138718	48566.2214085866	28736.6011914474	28728.7574133489	32863.4121989785	29387.6162025668	25677.1392876313	26981.2395816631	35705.0961309383	29149.1922253628	50674.1075686281	49989.9321861631	46887.5251090407	59695.4415833181
AST-PWY: L-arginine degradation II (AST pathway)	204.9654729030	93.6220077790	240.3230432807	793.8817145509	983.6315169327	1841.0322643987	0	226.7350484711	37.2088727625	83.9291801315	126.2682562588	134.9652400590	6793.8808588433	17.8097282233	102.2380794846	130.2991358219	304.3220493189	54.8005662920	0	44.1368369454	90.4936066678	1741.0480981311	127.1227826811	280.0001665347	246.2675709629	100.6906025755	134.0106013150	836.6388338234	623.2622862436	0	7.8188935852	12.0640811011	240.6033835193	37.1147016488	161.1869927532	9.8812735321	1174.3921710330	934.5941985805	259.5083613267	82.0389862856
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	13001.3073188976	20101.1962591364	8287.5311972230	19384.3886085564	9746.2594475787	21754.5079319537	5121.9994451604	8334.0257490107	10637.4185488883	5441.4830183186	13192.9363902766	9183.8231124802	18661.7306146870	5468.6226500266	7630.7223779482	17127.5113795188	14793.1482657878	5249.8198446569	5515.0445903999	13498.9996158531	2863.2840125854	6463.4576718335	11918.7535467706	8160.6056468682	11097.2643796122	13577.0901427212	10243.0065223252	19624.5706066212	6935.5071491557	9262.8786937308	2897.1308868114	7075.8491698232	8963.1695643835	9319.4318370860	5395.7035325836	7959.3261842447	12250.2119714902	21234.7518500681	23027.1312382097	13838.6009067571
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	46646.1462928090	54072.2711621066	63193.7925287873	62677.7181086855	28030.6681491196	54228.2738085800	35046.2984870311	29718.7309165870	32734.0784626904	32646.2161636546	27198.1817041460	23523.8362499746	33262.6283338967	37128.6331951794	31712.5614419289	41027.9180743621	47712.4804844567	31336.6104158940	31962.5527030052	26311.1171832390	40577.0473215748	30521.5343059104	31799.7162048981	33664.4716500856	31718.6713633668	27448.7845923911	30145.3831922919	55117.6590929427	31653.6611604234	32401.8120543711	39194.4231566485	31100.3486999074	27563.8594756610	30707.1370524223	41012.3928982774	33657.0627778283	61808.7346717668	52820.0870465914	50672.1020359380	65126.8361128658
CALVIN-PWY: Calvin-Benson-Bassham cycle	48274.6114728806	50130.6557580321	47547.3376302115	53345.5717531615	23114.4249718466	48165.0885786768	29581.2342546740	24841.4056139602	25338.9730411108	28921.7211921134	22973.8019035658	24359.0521243206	33414.7291229942	26754.6064973056	27760.2116545941	39096.5472349536	40622.6700521153	27562.8521123744	23949.3776659598	23075.6410743938	27992.5648322910	29098.6531485654	29727.7300659332	27862.1604838451	29096.1881368200	24002.6216432402	25318.7906440464	44504.7870393542	28857.2418015045	26114.4847199697	28511.9495559501	27379.7368888019	22815.6090884724	23898.3662282332	31197.8425473276	26092.4435081223	48577.2732319791	47705.7130764842	46325.4196922890	58157.4407891292
CARNMET-PWY: L-carnitine degradation I	234.7515465412	63.2524263640	257.4339913324	985.5389064547	1307.2656079138	933.7340657620	7.0347300054	289.3434139045	48.0532315879	117.5209910328	176.6884137699	68.3295967949	8437.9121636203	36.4329699118	95.4844073365	168.1157612842	32.9800606183	75.1678435002	15.8456419982	35.6330370627	131.1052292884	958.8472886918	144.7274019772	94.6528396976	325.1569294518	145.1520182244	175.9143029267	1203.0558685822	828.6070965924	0	0	0	27.7361944582	44.1883094190	193.4875173546	18.1936650165	1779.1007405837	756.0269548978	302.9267153518	37.5333759978
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	20.3950929962	0	19.6408476780	58.5828901508	86.4473475608	538.7055399464	0	0	0	0	5.8007672595	11.4526910370	67.7248544407	0	10.4482002020	0	181.8135324555	0	0	0	0	642.8952976559	29.5356092528	95.5863695624	6.9646785466	0	10.8412745314	18.3398081028	19.0156991721	0	0	0	120.3791057775	0	0	0	9.0913308427	213.4570578769	30.4134145050	54.6303526949
CENTFERM-PWY: pyruvate fermentation to butanoate	8227.2818697983	9983.2377884137	12698.6134759972	9503.6364896335	5375.7390328780	10528.7223565524	7816.6747089038	2849.1988526270	4089.8987516149	10105.7246312500	4770.4590942814	3410.9773427198	4638.1972312438	4749.5870637000	6140.8481138615	4964.1804150275	8460.5240428992	8069.2056712216	4913.9819821588	3761.6371200077	8082.3247750008	13323.4096386771	3267.0517282423	5523.8445544956	3390.5826738166	4526.4206679214	6362.7268636461	11216.6240172966	5510.0575326857	6093.4970213670	4270.0537057217	7133.4565312322	3910.0390295585	4719.5742450349	5450.1921796740	5859.1499814262	7043.7053632467	11711.5803590637	7393.7692557689	10684.8216206396
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	17.7190397644	232.8118319297	182.3285917052	0	0	84.9285387713	21.7304585360	65.5645028933	0	35.2214119602	91.8997438319	220.7762774059	70.4363617922	57.6944430472	246.2987102803	132.8412155926	44.6645896414	45.5633846765	37.8354037078	64.3151078711	113.7695779763	0	23.0778759114	0	50.0311446642	53.9442999916	18.0695169297	146.2700650078	0	0	0	127.7987679309	139.5565325062	0	14.7931199427	67.0723782676	0	0	27.0325474826	0
CITRULBIO-PWY: L-citrulline biosynthesis	1809.0890810172	8608.1528825949	849.8360802386	3800.2212456694	3350.6992850428	13852.2437123664	443.5671223175	1667.7769204767	3568.6088095744	1385.1588932668	5692.8123480297	7472.0226815019	7944.4673103699	263.4099870785	3773.2379283683	583.5938327501	7817.9986566979	978.2237731689	2026.4370383202	4853.2482896352	654.1816642958	3371.2992753211	1490.3002031969	2146.4700267681	3220.0755317184	1963.2983613562	4698.5696598080	10640.8326354519	3121.6351990962	3521.3156275528	4739.9359107796	4413.8058236332	10610.7370947789	4461.3894739374	685.5424941171	2887.4347202305	5176.0039425880	9230.1022882723	6805.5404645927	2294.9725453772
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	43477.0049804920	47082.4786023007	45997.3935807876	47552.0144702469	21115.9201521177	47071.6178104037	26087.1401054596	23417.2252480512	24434.6418656623	23363.9044623804	22328.8933195223	25692.2784419961	26693.4781924178	26780.4216211393	24279.6607781001	28621.5155379126	38067.7296775800	24247.9127018388	24896.8681033530	22705.1775167284	28339.2422884274	21605.9787159084	28180.2463699752	27124.7085305691	23824.3100199107	22666.2186154471	22648.6212814593	42464.7088515491	24641.1545816590	23478.4407023479	29956.9094152369	24272.9828457922	23668.3045116449	22288.6563085803	30418.2661798502	23140.7432701074	43168.2707394088	43459.5798008240	46797.3490367961	50922.9515958321
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	34433.1852699907	36643.8941976883	38447.8997103791	38457.7156125325	18398.8089222996	40449.2044086982	20302.8689290610	19138.9109971415	20211.7883632753	20083.1021105288	18533.4246399758	16701.6279463565	23791.1834240771	23599.2503662192	19987.7881618416	24663.7906299658	32545.2477015545	20970.2805895212	20582.1226660643	19516.0039456551	24691.6317510374	20064.6552294441	18095.5523819455	20408.4104507528	19077.5283953526	17961.5372029314	20188.7675996760	35829.0091195044	20092.2096193800	20590.0193656221	23610.4366796464	19147.3984721373	17496.6211137755	19808.3161678458	26644.8942860942	20082.9907966458	35284.6383394573	37440.2249243995	36602.5630996864	37293.7988543405
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	22705.4680098910	27337.7001318140	32240.2046654919	33918.0419930119	15137.7137134528	29248.0091552151	15994.4864400771	13179.0515154429	15103.4617003369	21377.4700131787	13894.1305317986	8144.5603786036	16583.6176950897	10791.1836332103	16016.2625515344	29156.7257492991	25301.9621080304	16521.1128463930	15546.6740416352	11557.4075198929	15481.5004712509	20477.8197898201	12823.5494654173	17621.4320675800	10999.5727872629	15134.4233134952	16763.7783570374	29479.4786091131	17344.4297887753	17278.1248177553	17518.6819138727	15655.5201643679	12045.8016716198	17038.1191005708	16354.3342075217	17230.4572089247	27412.2042834278	30688.2629941721	26341.3982808942	25758.0408460612
COLANSYN-PWY: colanic acid building blocks biosynthesis	9778.0477487716	19284.2618552458	8735.3764420925	17895.7746959474	10452.5271155287	25332.9536960866	5274.3534871441	7979.4176142893	11502.5410626041	5713.0872836133	13063.1555893001	7196.0592611945	18854.7917533250	5501.8200281413	9755.4618364001	5570.3072610391	18546.5969148888	4301.5673687704	6871.9614169848	10772.3634758082	5831.8759788569	3885.8104684617	10200.5395582193	8775.0163868616	8991.0576430019	13237.8509116877	14194.4936324649	26868.4463237920	7540.3119108300	12181.1405720917	7437.8618669491	7739.0054354697	10551.4444548515	11824.3749525598	4906.2581421285	7999.4587194501	17259.7950105460	23988.5136374396	23195.3591914718	10218.6484325200
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	51308.4977271904	51337.2922469984	55670.8948723115	54991.7818446009	25161.4092713798	52456.7267586522	31873.7389910007	25946.9966706036	27988.8616607544	31345.1663369494	26146.0056748789	24444.2237229675	28032.1709687685	30879.9915573522	29351.5285211920	32457.1264236287	45002.7912534516	28316.2536430974	27646.2557758177	25713.9589430934	33876.0723189377	26850.8571421473	33692.7875395328	31337.5326508489	27524.6901939351	25901.5895814344	27521.2630930542	49824.3617470946	30148.4714467189	29128.3936683179	33245.3839764682	30108.2594132360	26354.6080964633	27546.7479882786	36418.5033097559	29399.1966021164	52139.0339857729	52197.4393743522	49187.2843379903	62758.4439013128
CRNFORCAT-PWY: creatinine degradation I	0	100.3240913162	18.7962537215	0	22.2246494820	370.8368811579	0	0	0	0	0	12.7297628022	135.7146949163	0	0	0	125.4634484629	11.8282293418	0	0	0	0	61.4645598474	40.1876410955	0	0	0	0	0	0	0	0	0	0	0	0	0	422.6052379428	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	17210.9244756173	19309.4745607115	22702.0797634799	27423.0218926564	10476.8005860662	17782.4776422855	14997.3995976521	18248.7884285977	10402.9773387460	10097.4030031166	10917.4095200212	14702.4480418887	23312.9583488748	24298.3711346755	14259.7779568157	16644.8332665240	13123.7617754418	16695.8982638146	13436.4520955914	7398.1069824053	26831.8334548184	18828.4451825760	11261.2535750446	9509.2184092553	12794.4748409213	10583.4907263028	9536.4873270272	21659.3479654221	12915.2249936059	5868.4966943201	18915.8386896140	6385.1836785072	10704.4879743833	13209.0611735612	16352.6210174505	10746.7325117979	30067.6486959933	25051.2175406347	14341.5215216998	32335.9871331020
DARABCATK12-PWY: D-arabinose degradation I	3983.7997191488	3660.8269087654	2262.7245215880	4239.4647189028	2438.6414742672	7123.2364417276	4719.2440719628	2937.6402388475	2452.1867040700	2518.1798785428	2484.8509011639	1782.1125574096	9329.1323384298	2220.3959365915	2568.0353154821	1134.0966650943	4045.0867843644	1928.0343311327	1345.8231211090	3076.9430074879	1704.0159425910	3270.0075615680	3012.9495494476	2948.4304210284	1561.3885878630	1673.4810797772	2520.1563118165	5127.5231546021	5207.1773281972	2662.2355621192	2057.3006544648	2117.4255909448	3777.6874194649	2474.3283066637	2923.0628261781	1551.7807520066	4941.9076518505	4706.2318133985	4571.6248244196	5189.1573606256
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	12.6592276308	103.9336703566	0	66.0832580783	20.3480737195	29.0598800924	0	24.6862272764	0	10.4541070063	37.0991056047	19.7999006298	0	41.0725324880	8.6009042271	0	75.5143983867	31.7367490258	0	0	44.8202866395	11.3767970159	15.5071712726	0	48.2439424240	10.9770971989	89.6498665697	19.7697695794	0	0	0	55.1278857412	0	25.0763429116	0	0	0	0	42.0656941628	104.1964439914
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	4327.8861625137	5224.5683718966	4298.4371032141	17690.1296831667	7443.1517610756	13795.5297804436	718.2970740507	11134.0365619178	2862.1577112333	1510.0325070170	7576.9488965955	7780.9871481673	21215.3328512029	6545.6297518427	7330.7368834193	4255.8356945687	5140.5633570227	3478.0578023694	7363.6007755924	4387.0276595902	5735.7902897739	7437.3171281988	2665.9116708031	3236.5382794850	14228.0710616891	4064.4712419516	4236.2975414509	15629.5589082982	10173.8765470240	5085.5029282657	6360.1153135221	3065.7097563532	5376.5387669680	3536.4601605298	7524.3777030137	1514.1133722614	18084.0874256898	13470.5379841513	4048.0404245798	18353.6659398561
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0	0	0	20.9229653519	0	0	0	0	0	0	0	0	23.3980685718	0	0	0	23.5067077402	17.4939012262	0	0	0	0	13.7811404722	0	11.1602293762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.4968296486
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	45238.7332574545	50983.6175517287	51986.2454615293	44271.2312169446	27971.1309528685	49958.7087847653	23134.3892320683	20944.7902765149	21498.9433860481	28358.1194490105	26930.5736589943	26959.2840216712	32383.7976069679	20959.4317689823	26976.2701003823	30004.8344624919	39830.8099624745	22572.2660358814	27752.2908614815	26169.3291938667	35793.2925146336	24213.9968086935	23735.9513665416	27974.1976632396	35145.0691304951	22465.7893381463	28815.5209810211	57283.9556833300	26101.3645570022	30087.4642494546	31721.7106596632	25087.1414042651	24133.7783290801	25126.6423914660	32762.2393827657	27237.1867036403	44520.4953289312	51999.3380372735	50323.7304177131	69803.2699505787
ECASYN-PWY: enterobacterial common antigen biosynthesis	639.5985066476	85.2988567600	614.7581482372	2228.5185613381	2532.8416783856	4137.1049364743	28.4496903050	771.0173370287	143.1994511839	242.7037499758	416.0292320272	271.3246970319	11512.8195984109	15.1143176427	295.5433617275	410.6549824379	502.5954123513	228.2946511383	28.3410990054	131.3743201265	329.3115343530	2992.9094428358	439.7841256562	459.0379426499	826.6256821452	268.7109999791	425.6042622677	2859.7245169724	1782.4757247150	0	34.4950234671	0	512.9631261139	106.5339175728	395.0918602850	45.8262626971	3644.3435061760	2313.9635594698	709.7933996736	214.6303817899
FAO-PWY: fatty acid &beta;-oxidation I (generic)	2034.8204185872	538.3467705723	2062.2845610570	5806.6982690127	4931.5156347204	7460.7566287359	0	2072.4551690103	355.9837620710	830.8314119803	1020.7690507135	700.2751872503	18814.9557292276	49.4379360884	829.0729910927	1182.1543684587	1553.7376814006	635.0552876117	72.7731578567	334.3029058068	902.5144954922	7131.5364868191	1135.2277444959	1603.4835164851	1653.2597118527	780.5729337026	1159.7489641949	5704.5298322031	3401.3104840443	0	0	88.9545255292	1191.4943277677	462.6705608617	1452.3693651292	0	7286.4589727029	4570.1649346407	2162.2910166196	657.6782922991
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	32883.1232719444	37213.5120712564	43043.8285946767	41922.5361946318	19875.6513930532	41712.6638895101	22969.5543805342	16875.6781163814	20990.4529440741	25132.8866304690	18904.5314976174	13285.4335955148	19400.8952227010	15575.4140706997	23047.5036687062	22627.6760585392	36075.0459216414	21161.7840209954	21494.3808064525	18637.5419545459	21864.1229038380	22720.2625705378	19669.4496609479	25231.4994860545	20097.9337837724	18747.3814113774	23589.1137173870	36883.6804487417	23561.2430961739	24326.5127042090	22207.5642586906	23101.9076009978	19255.2861152561	22038.4180498660	24855.2801126569	23931.4988405974	36556.5274213814	39489.8545672305	38681.5964096413	42734.2472647519
FERMENTATION-PWY: mixed acid fermentation	23494.6971429844	27071.8222411820	25739.4271507380	28940.7224400128	15718.7350191317	30482.2013159701	16845.0254016315	17094.4705807263	16647.5297430520	9009.5478777228	15752.1195650552	16233.9138105391	31979.4921351583	20159.0086534398	14564.8653377322	13205.3026109245	25085.9941403584	13262.5984342179	13451.0307627669	13617.8961653808	20956.0166032315	12640.9820165362	17385.7149030131	15172.6926917033	18029.6586820014	16356.7502093723	14200.7411194643	29958.9587322494	16110.5539252225	11926.2609409568	18136.9023849569	13282.9692974522	14851.5671057077	14414.2490329971	21272.1299643779	13559.6935411752	31350.0755121328	29816.4168207586	30561.6109562039	31431.8563343802
