Pathway	KO	SRR28210342	SRR28210343	SRR28210344	SRR28210345	SRR28210346	SRR28210347	SRR28210348	SRR28210349	SRR28210350	SRR28210351	SRR28210352	SRR28210353	SRR28210354	SRR28210355	SRR28210356	SRR28210357	SRR28210358	SRR28210359	SRR28210360	SRR28210361	SRR28210362	SRR28210363	SRR28210364	SRR28210365	SRR28210366	SRR28210367	SRR28210368	SRR28210369	SRR28210370	SRR28210371	SRR28210372	SRR28210373	SRR28210374	SRR28210375	SRR28210376	SRR28210377	SRR28210378	SRR28210379	SRR28210380	SRR28210381
Adherens junction [PATH:ko04520]	K14394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0301081044
Adipocytokine signaling pathway [PATH:ko04920]	K01897K01596	48.7631577059	78.7710812055	35.8287307175	115.8641284977	135.28617204280002	97.9665256384	24.8307954143	109.0813647233	143.6901816243	91.6952340696	122.203849978	160.12818517809998	232.3219299434	13.0766330904	87.10409325090001	113.6303987022	82.1175460051	66.9266699224	78.5885626083	133.846230168	28.087803538200003	15.745611322	94.3482705097	81.7035600629	111.486497782	127.6588299918	138.1155900078	114.3673500969	44.7838546974	89.6658362694	153.96161835540002	42.892364652199994	151.06771233109998	85.48001542989999	100.0520492839	92.7502900979	127.02492809740001	109.6946732498	116.20996609	79.1669637198
African trypanosomiasis [PATH:ko05143]	K01354K14475	1.1157382121000001	5.7140213711	0.9347316952	11.9944505795	10.8843967271	6.3955307893	0.0	2.5308521216	0.5704616562	0.742919518	4.0106212352	16.8898059049	67.7842700648	0.1303747555	13.405541286	10.8083627223	0.9765345245	12.6227455595	0.0	7.7500906881	0.8004798613	13.1569895929	16.1754279944	4.4175240997	2.5785473228	7.0680390313000006	1.3463731816	4.985900114100001	5.7278582302	0.0	13.394048961500001	0.5036030409	3.6074472278	0.3645972607	21.4506027141	8.6168541853	17.5541280729	4.2261678188000005	4.6249356453	1.3509451018999998
Alanine	K00812K00813K11358K00278K01779K01424K13051K01914K01953K22457K13566K09758K14260K00830K00259K19244K01744K01940K01755K01939K01756K00609K00610K01580K00823K07250K00135K08324K00265K00266K15371K00260K00261K00262K00294K13821K01915K01955K01956K01425K23265K00820K00764	770.0561523596	892.869710736	1143.8709028968	1214.1166564987	1871.1125006316	1430.0705867611	838.5737735158	1882.2550836295	1434.0702210324	914.0226963901999	1596.7741657699	1369.486992098	3962.559771651	2085.8260325929	1079.9157407618	898.4550648155	1246.7607014034	906.4324407744	1241.1828573757	1240.3332498777	1802.2685986617	1184.660167349	947.9451167688001	1025.0723526926	1537.3193818877	1516.638021201	1418.5549307223	1763.5364667778	1156.0346552401	1042.5649910728	1207.8760662930001	770.1976272008	1418.7912778294	1355.1112677817	1323.6901165804	1121.5075768927	1586.3736949273	1491.7748418835	1353.5865865394	1470.5237451682
Alcoholism [PATH:ko05034]	K11253	0.0	0.0	0.0	0.0	0.0862444866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alzheimer disease [PATH:ko05010]	K00134K03878K03881K03882K03884K03955K00411K00412K02262K02256K02261K02132K08738K03237	23.0732491809	44.317513513	32.1696374434	48.527130964	64.3103311184	56.9078865925	18.9761302457	87.0726360446	71.7483139168	17.701483646	78.0254753687	66.0157245177	193.0504375621	113.1228244045	56.6450710794	41.8313308334	47.8959922709	26.1459262756	43.9314536116	37.6867349045	96.5064356265	29.4700381649	38.743363484	36.1187304966	59.520062933300004	74.2531503728	48.6485853204	72.927742088	46.9468661779	29.9174983127	54.39093734650001	23.708477414	52.5840153068	45.8612427604	52.8312098271	32.6773179167	79.2529861498	57.0259663063	62.3304495707	69.0993573121
Amino acid metabolism	K06203K04023K04024K04025K04026K04027K04028K04029K04030K04031K08234K14054K06997	180.8317817697	143.4827615003	295.31668842050004	230.8394305198	290.3370285772	170.29015382929998	286.0994180316	244.8881549701	122.52962007400001	319.6138216114	193.6427543512	100.49232779249999	1072.6553942666	233.2495248729	293.6142040033	237.1608824951	136.0022315744	347.03580086060003	187.8539154779	109.8527758396	410.3989464594	603.8488256011	156.9306821174	205.76297833220002	200.22648330750002	159.010964884	237.3962155387	254.3229058155	249.6374161551	193.77268152210002	205.2978990954	161.5965909203	115.2514868138	239.99297092810002	180.5763206863	251.0843325775	342.1772123531	251.1006112138	115.41752815570001	162.024793035
Amino acid related enzymes [BR:ko01007]	K01885K01886K09698K01894K01866K01867K01883K01887K01874K01870K01873K01869K04567K01876K01893K09759K01892K01880K01878K01879K01875K01881K01868K01872K01889K01890K00812K00813K11358K00835K14260K14261K00832K14287K08969K14267K10206K00841K10907K00817K00639K00652K14155K00822K00819K00821K00840K07250K00823K00836K09251K00833K03851K01845K00824K00826K03342K03430K09469K00830K00831K07806K02805K13010	1134.7765754475	1389.391512701	1267.7981336045	1635.2247809834	2283.9511804869	1893.8872225564999	1374.4056778799	2549.4836804378	1900.4092953232	1335.3953093336	2146.7899648593	1788.3857375155	5374.2089743408005	2488.8047507051	1868.8683088834	1502.2015132007	1593.2717894348	1427.8403692507	1660.8283104157001	1585.3942967807	2590.5538429493	2200.66587124	1578.7842431518	1254.2803185099	2349.0211831823	1975.4480020215	1896.2423662684	2328.3799518189	1625.3326502657	1502.0494428451	1529.366321231	1020.367869282	1713.5298097465	1857.2524867773	1584.201178118	1674.1759715771	2230.4652305386	2132.016944431	1684.9835808883001	2477.5879275585
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K01183K13381K01207K12373K15855K18675K02777K11192K07102K07106K02804K00884K00972K04042K00885K01787K01788K01654K01639K21749K00983K01791K02472K13016K13018K13019K02473K02474K22925K00790K00075K15898K15899K18429K18431K00844K03431K01443K00847K02564K00820K01209K15921K01198K10011K07806K10012K13014K08678K02779K02791K20118K00845K00886K01810K06859K15916K01835K15778K00963K00012K00849K00965K01784K01854K17716K08679K02793K02794K02795K02796K01840K16881K00966K00971K16011K01711K15856K13010K01809K02377K00978K01709K12452K00523K12454K00975	893.2861778965	991.0353434466	897.7285929196	1294.3422727129	1915.1237023365	1358.0755056242	1002.8167935344	2046.2489304725	1378.0774203799	1075.1091799499	1455.0990811607	1476.009781778	4689.6208248735	1497.7056312354	1373.2507339916	1200.6931823733	1141.8398395407	1091.0201244818	1259.3038307844	1087.6125493815	1588.4753007825	1766.3234231338	1041.342346416	1030.2768590076	1752.385065912	1182.748130939	1354.7040650942	1759.2585090888	1423.9797105087	1106.1656610056	1265.7244246034	883.9964149393	1213.4429550727	1332.3993110791	1097.6993606505	1001.6251577749999	1760.6102957353	1520.582769393	1153.2771799796	1896.0988267308
Aminoacyl-tRNA biosynthesis [PATH:ko00970]	K01885K09698K02433K02434K02435K09482K03330K01886K01872K01876K09759K01893K01880K01878K01879K14164K01868K01875K01042K01883K01874K00604K01873K01869K01870K04567K01887K01881K01892K01889K01890K01866K01867	984.1386428465	1129.2453158345	1186.3323770808	1400.3396658647	1735.7519911425	1405.068707723	1428.2547570146	2337.4581082428	1588.4530555228	1155.786062984	1777.2347945598	1477.2883681137	3661.0189824057	2515.4539328521	1727.6637712145	1449.9965586026	1278.971516223	1398.7656858689	1525.8760106655	1245.8816688749	2759.4080448727	2141.2502384383	1357.007388067	1065.6757954572	1990.3930135028	1598.9952637959	1519.2110279989	1894.189328436	1324.072396376	1225.0560110219	1436.7419782983	861.3615880711001	1412.4697907898	1594.3589885194	1445.6231540511	1386.5786790707	1930.1480923116	1750.4100083734	1270.9472098833	2262.8672602284
Aminobenzoate degradation [PATH:ko00627]	K01721K20807K01426K01512K03380K01612K21759K03186K14333K03863K04099K10219K22958K22959K22960K01034K01035K19709K01692K01101	31.199491331900003	9.1857837402	21.4991132165	56.6785684854	117.2454435324	64.3421844307	21.7065610678	80.5523076507	41.8342190132	67.3603872299	27.3711442108	34.2545025168	498.4140894984	37.4835576704	61.0985112496	50.624718145900005	26.2624857163	15.1101716101	29.9074803259	24.160553723	49.9793962323	89.3355419684	34.1574288143	32.3361836092	38.3776485287	37.3984321183	15.8813623034	71.824421438	96.095427258	21.512045056399998	33.4428339184	22.120487039900002	43.3832817808	40.1457040199	26.9345034508	71.1719414754	100.77926598990001	42.926633910999996	28.9468780364	132.8250532774
Amoebiasis [PATH:ko05146]	K01476K04072K13963	3.033970633	9.6208807401	2.0682692387	5.1674256621	18.3279565692	9.5185261372	1.0157282485999999	4.7809199941000005	1.1506079012	1.2246951656	4.0034146115	6.1804868016	74.30289922179999	5.877697734300001	9.7823409939	2.88348414	18.7518835629	3.6733303402	1.9034352553	5.2411349335	7.4494287515	15.0058927955	2.3591813268	5.2512496868	15.0735129041	4.3226098447000005	3.4541345596	7.2064036695	12.771859191699999	1.6595159166	1.4520109868	7.8731870953000005	4.7880938784	15.4652427021	6.257444469299999	1.6942356041	11.426327558	7.0919510767	8.2386893765	11.207107816299999
Amyotrophic lateral sclerosis [PATH:ko05014]	K08738K04565K03878K03881K03882K03884K03955K00411K00412K02262K02256K02261K02132K13525K03237K00432K03781	7.0565199211000005	15.8243168791	4.8922789568	25.2140477323	46.8011256126	31.0696833819	2.8686852898	13.482323427899999	4.8560924148	4.9001834765000005	21.8773860019	25.043602811600003	228.4315634586	16.9275453068	25.603630277	13.6193659276	17.449361794	16.5186922081	6.7112979676	17.5106352774	5.9236295852	44.2214718342	24.3041093306	11.4903807255	53.780189459599995	15.8942527552	17.3693151159	24.8156466126	20.689192955	15.8791198931	11.2521148645	4.7143499142	12.3439822671	4.657640018	33.8496889196	13.725996819999999	39.8729888701	25.9694213709	26.8871062051	7.634538860300001
Antifolate resistance [PATH:ko01523]	K00560K00287K00600K00297K00602	121.7219295009	189.5823463606	212.59591778930002	223.1026348553	352.77831184490003	279.41363895	120.6654218023	274.6108240088	237.35465974459999	127.9051822287	284.2415832317	260.3521656727	694.3407416269999	532.019040933	195.800336348	122.1861366347	241.69746615140002	156.7655139872	211.99787809909998	233.2360535901	352.77352450440003	179.438817972	101.16898976019999	178.5580464281	437.1902169986	210.00313892740002	277.1740898658	317.8814748784	196.0907298341	238.24372764400002	220.5108779724	123.12845594609999	252.9608373277	247.30356270110002	305.53972575520004	212.8482494517	279.16450834520003	300.1762094834	257.838311126	129.3858244822
Antigen processing and presentation [PATH:ko04612]	K04079	10.1349209043	12.781528818	50.171940251	12.8035818912	28.2951968564	19.3412963287	3.6810115236	12.4348915513	28.9596582077	23.6669523825	17.558620627	5.1364125209	23.6379602351	1.5286909396	6.0636916162	16.2028888688	19.659437008	13.6283857642	19.5847009858	15.2579655166	8.4325296825	1.9660984665	10.6754745432	22.3477890699	25.4785553589	13.9008063353	40.6920758164	25.2145922124	1.7033519642	16.8328985811	13.1599019042	15.6774391419	33.3533867506	19.5568384853	29.9551842071	31.1483426253	15.0203781637	13.8951946941	17.5120437697	5.3145610165
Antimicrobial resistance genes [BR:ko01504]	K18698K18699K18796K18767K18790K19215K19275K00662K18815K19278K18816K00663K19883K17881K00984K05593K17910K19272K19299K00897K18846K08151K08168K18214K18217K18220K18221K00561K15632K18230K19350K08217K18833K08160K06880K19545K18236K18234K18552K19271K00638K18554K18824K18825K18589K18590K08167K21264K21252K02172K02171K17836K07644K07665K18345K18344K07260K18346K15739K08641K18350K18349K18348K18856K18866K03367K03739K14188K03740K14205K07637K07660K03585K18138K18139K18294K18094K18095K19591K18144K18146K18140K18141K18142K12340K07690K18898K18899K18900K18901K18907K18104K13632K09476	365.642506663	435.8994735533	395.75316620579997	430.924305175	663.5216096183	559.0834546193	331.2416700496	477.1430176932	381.0055998746	290.5891431254	529.3827940757	536.4753702977999	1697.9235458365	1320.5480968528	432.8527306898	313.7946325786	384.46738296760003	436.5896194609	367.5852772209	408.0199422487	670.3248376537	572.3536505556	482.9123506672	283.5512697625	517.8151266279	567.4524105348	485.88796378070003	410.8108937698	474.1435180984	375.0575951314	311.4346774666	369.2390574019	469.18477028169997	510.7124924814	380.3762768445	372.04563280310003	554.197042295	450.3482485148	530.9812757574999	336.1739000368
Apelin signaling pathway [PATH:ko04371]	K02991	0.0	4.2501995622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Apoptosis - fly [PATH:ko04214]	K08738K05770K03386	34.38715948	32.7271856901	52.8325266293	46.3202998833	95.08522238340001	68.68336420509999	37.148067393699996	156.2499175188	88.1445159869	26.304828151000002	64.8369780915	70.26345151219999	225.56060513079998	186.27424727119998	52.6461804498	58.741164587499995	70.2716718287	26.9547046897	71.0098106879	64.1847471864	159.112690216	25.8147271872	37.4551104332	42.002457353500006	106.0277687879	69.27576583439999	64.3479394316	97.71241311200001	52.987490344899996	40.7610335895	96.3665480788	19.1641138898	84.63321132089999	91.4579737818	61.0767060211	41.695509250200004	55.8391090024	84.8392608147	75.7171711054	102.0762409734
Apoptosis - multiple species [PATH:ko04215]	K08738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124010333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Apoptosis [PATH:ko04210]	K08738K01173K03237	3.202997437	8.9789639334	1.4094617372	7.209550398	10.9739030468	28.6289129433	2.7245860089	3.8113486819	13.3750107396	6.172563122400001	29.2234632974	12.4133947475	12.141491949	0.1278616549	15.3063792903	0.6834428975	15.439322585	1.8713613269	7.4370743164	6.3978976634	1.4280623255	1.4692191639	6.2416446923	3.5684537355	2.5982289212	6.9388375576	24.7986921857	26.0767131907	8.326343808	18.3032992088	0.2173373536	4.3790409923	9.2556476786	18.3242356919	1.9346130153	11.0080123901	9.7109402897	20.2494598213	16.2234832616	1.7662799039
Arabinogalactan biosynthesis - Mycobacterium [PATH:ko00572]	K02851K16870K16650K16647K22902	7.9080693406	1.3932595203	24.285297281	8.4554431911	35.9492431274	9.8396020917	16.8633975112	21.436098728	24.2713328597	1.225214024	1.3650734184	16.9083189662	101.7862545033	158.7207261431	0.9754019436	8.3103849247	7.980586594	21.7261112375	11.6349234647	0.9500075955	92.6566899299	14.4732677551	2.7776736618	9.1010628937	28.719893313100002	4.5901254592	4.2756506439	16.6871068644	9.2542458193	0.2050597366	2.6497659051	2.9363549585	2.7922603133	12.2261573715	42.9408680751	0.8735225735000001	20.6406468467	6.9924615812	12.5836478113	0.8036655579999998
Arachidonic acid metabolism [PATH:ko00590]	K01058K00432	3.6346120524999996	2.7158458937	3.3153502882	11.5577795174	29.1940425362	13.236907573	0.0725766387	8.051597962599999	2.2312822651	1.2299293468	5.814708067	3.0491078201	170.6162537935	15.5778858148	11.3978489402	3.2936094492	4.008989855099999	4.1027816427	4.7960615899	12.2864352726	5.5363108915999995	31.6567399762	2.5079816595	4.4980371251	34.9294900078	5.725108816300001	5.7329788264	15.3584870652	17.735997331500002	7.8907445483	0.0926063061	0.8839154087000001	2.4708608473	0.7287138635	11.5424498954	0.6921928026999999	22.3414195685	9.870243826	4.1495862778	5.4632717041
Arginine and proline metabolism [PATH:ko00330]	K00613K01470K01485K03365K01474K08688K01584K01585K02626K01480K10536K12251K01581K00797K01611K13747K09251K00128K00137K00657K01426K00673K01484K00840K06447K05526K09470K09471K09472K09473K00491K01476K00819K00286K00318K13821K01750K00294K00931K00147K01259K23121K00812K00813K11358K00824K01777K21672K10793K10794K12658K22549K22550	245.13968890270002	307.3636356553	278.1149169457	428.61810080879997	721.756848413	594.1246522464	396.9130577304	478.4864138869	445.7997934416	409.1887042443	516.4758165979	407.8853269397	2170.4273806901	571.4648780396	440.2399671799	444.05172179680005	402.65281209330004	370.84958847020005	426.2182312235	312.4076440427	659.6478847641	785.2431875363	325.1798570758	317.80450159599997	480.40298357430004	443.4423279912	494.2292706667	578.6244621954	440.4762884436	356.0846008558	353.7283118831	255.7978971219	368.4685552204	493.90337666190004	342.2065508432	413.4803261271	597.7282211926	541.817551299	357.77355832579997	565.2251142474
Arginine biosynthesis [PATH:ko00220]	K00611K01940K01755K01476K01941K01457K01428K01429K01430K14048K01478K00491K01425K23265K01915K15371K00260K00261K00262K00926K00812K00813K11358K14260K00619K14682K00620K22476K22477K00930K00145K00821K01438	466.4952157833	525.2806866308	540.0343760169	677.2342028125	960.597178409	765.7691491434	569.4266927175	1126.1724790614999	847.6606977164	470.9793271507	899.1354640549	763.4797372775	2082.7016509506	1040.3956865778	749.702617434	589.9134669404	696.8278408107	553.5468832988	718.3765328364	760.6275467386	991.8016372092	790.3739089349	627.353198118	580.4285361867	890.0200661453	860.0732872062	799.7186445718	992.0347053608	669.169396784	630.0109326658	657.1086506211	404.8357603506	767.2999379972	789.9152910399	605.6251890327	667.3509368914	905.1848631195	863.016273121	758.6880240141	938.8475026811
