"","Variable","Feature","N1","N2","Mean1","Mean2","Beta","SE","P","FDR","FC","FC_lower","FC_upper"
"Hydrogenophilus","Group","Hydrogenophilus",19,19,0.094,0.0885,-0.124916240981119,0.0255131931046755,1.83547442634513e-05,0.000524329809342466,0.917057283554468,0.885815348770789,0.949401094130187
"Conexivisphaera","Group","Conexivisphaera",18,19,0.0765,0.0735,-0.127339072848069,0.0260102782283294,1.83788591128248e-05,0.000524329809342466,0.915518489210724,0.88373197031701,0.94844832170779
"Caldimicrobium","Group","Caldimicrobium",20,20,0.2605,0.387,-0.169143802377395,0.0345586411849498,1.84546422908926e-05,0.000524329809342466,0.889370340052688,0.84857922319324,0.932122281746358
"Diaphorobacter","Group","Diaphorobacter",20,20,11.017,4.1505,0.297974864455153,0.0609298678881759,1.86825969910566e-05,0.000524329809342466,1.22941744738017,1.13174765978027,1.33551613459156
"Montyvirus","Group","Montyvirus",5,3,0.0035,0.0185,-0.135450415892559,0.0277219422854588,1.89414340912225e-05,0.000524329809342466,0.910385562744076,0.876736111737716,0.945326491924848
"Cinqassovirus","Group","Cinqassovirus",3,4,0.008,0.013,-0.131343775153073,0.0268893190866039,1.9025845883032e-05,0.000524329809342466,0.912980672867139,0.880230434302037,0.946949431133757
"Candidozyma","Group","Candidozyma",20,20,0.0995,0.0735,-0.117830494692131,0.0241840048782074,1.97718023886817e-05,0.000524329809342466,0.921572457345573,0.891785628766654,0.952354205699121
"Maritalea","Group","Maritalea",19,20,0.2035,0.278,-0.146247067400713,0.0300316278630809,1.99249922305862e-05,0.000524329809342466,0.903597968668211,0.86747310955857,0.941227203453952
"Ralstonia","Group","Ralstonia",20,20,13.6985,5.943,0.229364314053292,0.0471256711616019,2.0092445430675e-05,0.000524329809342466,1.17231828393297,1.099614623839,1.24982892101366
"Ignicoccus","Group","Ignicoccus",14,14,0.0215,0.024,-0.130162110084044,0.0267478706884353,2.01435919236069e-05,0.000524329809342466,0.913728772278566,0.881121004465286,0.947543260299828
"Massilia","Group","Massilia",20,20,31.984,12.9205,0.31251894383274,0.0643183831312687,2.06077166383588e-05,0.000524329809342466,1.2418741188469,1.13796399592344,1.35527251528748
"Homburgvirus","Group","Homburgvirus",3,6,0.0015,0.0145,-0.135023246571231,0.0278985477449559,2.18712632719539e-05,0.000524329809342466,0.910655159818245,0.87678535114741,0.945833343381404
"Exceevirus","Group","Exceevirus",4,5,0.0145,0.0185,-0.131044169147484,0.0271298716125404,2.2529364761153e-05,0.000524329809342466,0.913170292217999,0.88012557339789,0.94745569018084
"Mahstovirus","Group","Mahstovirus",6,5,0.005,0.0405,-0.144350621020589,0.0299621075824808,2.34199268632544e-05,0.000524329809342466,0.904786544102409,0.868696209844699,0.942376265846876
"Candidatus Profftella","Group","Candidatus Profftella",20,18,0.08,0.0925,-0.133350118484064,0.0277331476335247,2.41167298812571e-05,0.000524329809342466,0.91171188111178,0.878000040946063,0.946718126874716
"Pijolavirus","Group","Pijolavirus",9,6,0.027,0.014,-0.122683608272961,0.0255159421328717,2.41327407261323e-05,0.000524329809342466,0.918477567887704,0.887183934024446,0.950875021920389
"Cbunavirus","Group","Cbunavirus",3,3,0.004,0.0115,-0.132361984123226,0.0275302012741872,2.41502051624213e-05,0.000524329809342466,0.912336547034285,0.878843887341556,0.947105608906572
"Simonsiella","Group","Simonsiella",20,20,0.1345,0.1315,-0.127605401024657,0.0265894041616372,2.48170417670522e-05,0.000524329809342466,0.915349495862569,0.88287394149961,0.949019628048711
"Dismasvirus","Group","Dismasvirus",4,5,0.0025,0.011,-0.133168992788758,0.0278499848755343,2.61977886433899e-05,0.000524329809342466,0.911826350774589,0.877970905324273,0.946987296418235
"Pantoea","Group","Pantoea",20,20,28.5095,14.265,0.204151298327938,0.0427224886726062,2.64516636131965e-05,0.000524329809342466,1.15200844945558,1.08704767954788,1.22085120329683
"Rudivirus","Group","Rudivirus",3,4,0.0085,0.014,-0.131710601038354,0.027566009671457,2.64957178333836e-05,0.000524329809342466,0.912748563959506,0.879198006365565,0.947579424632747
"Candidatus Mancarchaeum","Group","Candidatus Mancarchaeum",9,4,0.009,0.0145,-0.131543798834355,0.0275559248490259,2.68517205649047e-05,0.000524329809342466,0.912854100659611,0.879311711075509,0.947676004532947
"Hirschia","Group","Hirschia",19,19,0.0535,0.13,-0.150218305873595,0.0314956905448564,2.72049175867874e-05,0.000524329809342466,0.90111409742002,0.863369564337922,0.94050873474071
"Bragavirus","Group","Bragavirus",3,8,0.0035,0.018,-0.13591597450469,0.0285105981203301,2.73977636129229e-05,0.000524329809342466,0.910091828137614,0.875514667336719,0.946034562918769
"Benedictvirus","Group","Benedictvirus",6,6,0.0105,0.0235,-0.134931596706031,0.0283549978874815,2.81339319785343e-05,0.000524329809342466,0.91071301270562,0.876297475284957,0.946480179281175
"Thermovibrio","Group","Thermovibrio",19,20,0.0885,0.069,-0.120480272257713,0.0253499796376485,2.86596599349957e-05,0.000524329809342466,0.919881371726527,0.888740271517127,0.952113643511393
"Godonkavirus","Group","Godonkavirus",4,5,0.004,0.012,-0.132822226740946,0.0280103017584656,2.9631871291239e-05,0.000524329809342466,0.912045543614227,0.877990711206372,0.947421268823708
"Paractinoplanes","Group","Paractinoplanes",7,8,0.009,0.013,-0.130950292458883,0.0276213470275491,2.97235221981762e-05,0.000524329809342466,0.913229714472796,0.879595340781647,0.948150214910126
"Halomicrococcus","Group","Halomicrococcus",17,13,0.0905,0.1025,-0.126917181558665,0.026803733267173,3.02670506087499e-05,0.000524329809342466,0.915786255957274,0.883038044712658,0.94974896225807
"Candidatus Nasuia","Group","Candidatus Nasuia",19,15,0.0395,0.055,-0.136040235994751,0.0287368440546504,3.03661154560509e-05,0.000524329809342466,0.910013443937687,0.875170218255903,0.946243885901044
"Phapecoctavirus","Group","Phapecoctavirus",4,5,0.0145,0.0405,-0.139995449423362,0.0295940577175244,3.06945018851439e-05,0.000524329809342466,0.90752201783617,0.871758358847744,0.944752871593949
"Saccharibacillus","Group","Saccharibacillus",20,20,5.869,2.668,0.172272678960724,0.036436414815478,3.0931939005867e-05,0.000524329809342466,1.12683218715133,1.07241054159293,1.18401556936786
"Cystovirus","Group","Cystovirus",5,7,0.0125,0.0355,-0.13937258645904,0.0295100709744212,3.14292213691634e-05,0.000524329809342466,0.907913912087983,0.872234327095312,0.945053004859359
"Spongiactinospora","Group","Spongiactinospora",10,9,0.0145,0.011,-0.127435416689777,0.0269896130963044,3.15495952070506e-05,0.000524329809342466,0.915457352504213,0.882498016951793,0.949647645836922
"Gayadomonas","Group","Gayadomonas",7,15,0.0125,0.0305,-0.137287204956989,0.0291045403883045,3.20027218544862e-05,0.000524329809342466,0.909227229093737,0.873977410245445,0.945898766300274
"Chloriridovirus","Group","Chloriridovirus",8,10,0.0205,0.016,-0.126661826072075,0.02690277887392,3.28964858516228e-05,0.000524329809342466,0.915948363495796,0.883075520491676,0.950044911361049
"Miltoncavirus","Group","Miltoncavirus",7,8,0.0175,0.0225,-0.131269468867985,0.0279169041389185,3.35105935790383e-05,0.000524329809342466,0.913027697322984,0.879047725023249,0.948321180237243
"Sepunavirus","Group","Sepunavirus",3,5,0.0065,0.0115,-0.131418753419445,0.0279662792106853,3.38190366724875e-05,0.000524329809342466,0.912933225605333,0.878897811311712,0.948286665056405
"Noxifervirus","Group","Noxifervirus",2,2,0.004,0.01,-0.131677118871894,0.0280219227637447,3.38306561805491e-05,0.000524329809342466,0.912769747337226,0.878674001360887,0.948188532224336
"Candidatus Nitrosocaldus","Group","Candidatus Nitrosocaldus",10,11,0.008,0.029,-0.137987137660657,0.0294683323499936,3.56023800168414e-05,0.000524329809342466,0.908786218690711,0.873121862202938,0.945907355015008
"Hautrevirus","Group","Hautrevirus",4,3,0.0075,0.0085,-0.129417628016992,0.0276598421941728,3.60068291642567e-05,0.000524329809342466,0.914200410576234,0.880484236966216,0.949207669608539
"Aliisedimentitalea","Group","Aliisedimentitalea",12,8,0.0135,0.0115,-0.12796453023717,0.0273759971473726,3.65182453842148e-05,0.000524329809342466,0.915121666818608,0.881711459421497,0.949797868829251
"Candidatus Nanohalobium","Group","Candidatus Nanohalobium",5,9,0.0085,0.028,-0.137979256479157,0.0295371791176,3.68532809790721e-05,0.000524329809342466,0.908791183238653,0.873044969546386,0.946001000568655
"Omegavirus","Group","Omegavirus",2,4,0.0035,0.009,-0.131654975033709,0.0282306769206601,3.77552772583404e-05,0.000524329809342466,0.912783757491924,0.878438321751246,0.948472041019416
"Deltaentomopoxvirus","Group","Deltaentomopoxvirus",12,6,0.028,0.016,-0.123531489570129,0.0265235633437581,3.84750119805551e-05,0.000524329809342466,0.917937931212395,0.88544974140186,0.951618150821815
"Chivirus","Group","Chivirus",3,8,0.0035,0.0225,-0.137287018421559,0.029477981198767,3.84929344851882e-05,0.000524329809342466,0.909227346653649,0.873534227659479,0.946378907347288
"Thiosulfatimonas","Group","Thiosulfatimonas",18,15,0.1045,0.056,-0.107919385941188,0.0231820425226746,3.87279285821633e-05,0.000524329809342466,0.927925325084279,0.899156290606842,0.957614841744191
"Cytorhabdovirus","Group","Cytorhabdovirus",7,6,0.009,0.007,-0.128043154654546,0.0275427336206173,3.95014823459015e-05,0.000524329809342466,0.915071795608631,0.881463714613384,0.949961271503585
"Shalavirus","Group","Shalavirus",1,7,5e-04,0.02,-0.138223481285843,0.029778666160707,4.03879544831959e-05,0.000524329809342466,0.908637352692622,0.872610859497357,0.946151230783252
"Lahexavirus","Group","Lahexavirus",2,4,0.001,0.0055,-0.131226182734197,0.0282760696515648,4.0488080716424e-05,0.000524329809342466,0.913055091908006,0.878645259668872,0.948812494786936
"Ludhianavirus","Group","Ludhianavirus",5,5,0.0115,0.01,-0.128308244522129,0.0276499312528358,4.05427428449868e-05,0.000524329809342466,0.914903670003861,0.88117342447967,0.949925068247274
"Camvirus","Group","Camvirus",4,1,0.006,0.007,-0.129365665705767,0.0278907372895221,4.08126955806039e-05,0.000524329809342466,0.914233338409496,0.880239787492454,0.949539669685219
"Poindextervirus","Group","Poindextervirus",7,7,0.0145,0.0695,-0.14973967594275,0.0322877293209981,4.08929317081621e-05,0.000524329809342466,0.901413101518672,0.862727216503005,0.941833715276886
"Norovirus","Group","Norovirus",2,3,0.0015,0.007,-0.131646020079039,0.0284014073067049,4.12057242530542e-05,0.000524329809342466,0.912789423251012,0.878240043867758,0.948697952247294
"Usarudivirus","Group","Usarudivirus",8,8,0.0065,0.0105,-0.130938535356806,0.0282545142508294,4.13255207814163e-05,0.000524329809342466,0.913237156779325,0.878846199340141,0.948973899128853
"Percavirus","Group","Percavirus",6,8,0.0105,0.0205,-0.133733373290815,0.0288712008152177,4.16046279125703e-05,0.000524329809342466,0.911469715204761,0.876410742439285,0.94793114861095
"Alexandravirus","Group","Alexandravirus",8,7,0.0275,0.0065,-0.11986443952815,0.0258797779064517,4.16664105295518e-05,0.000524329809342466,0.920274118609655,0.88847999360768,0.953205991666639
"Pamirivirus","Group","Pamirivirus",3,4,0.0025,0.0095,-0.132339685046578,0.0285837455217086,4.18845110865418e-05,0.000524329809342466,0.912350648711522,0.877600451896706,0.948476843198238
"Lymphocryptovirus","Group","Lymphocryptovirus",1,3,0.017,0.0135,-0.127889387100899,0.0276434634208788,4.23394161573237e-05,0.000524329809342466,0.915169332403517,0.881437037707489,0.950192550508458
"Betabaculovirus","Group","Betabaculovirus",18,16,0.052,0.059,-0.132193682653896,0.0285869566354856,4.26172217193685e-05,0.000524329809342466,0.91244298431565,0.877685441636267,0.948576973174722
"Ghunavirus","Group","Ghunavirus",2,3,0.0055,0.005,-0.128774027841891,0.0278481731502416,4.26328977311392e-05,0.000524329809342466,0.914608335181267,0.880651764276885,0.949874218976801
"Cheravirus","Group","Cheravirus",1,3,5e-04,0.0055,-0.131449731377056,0.0284357067643296,4.2823365935515e-05,0.000524329809342466,0.912913623054317,0.878318613681253,0.94887125261427
"Pandoraea","Group","Pandoraea",20,20,17.2505,7.111,0.299357221581365,0.0647801838925376,4.30318480298658e-05,0.000524329809342466,1.23059601137975,1.12692231123338,1.34380740191959
"Attisvirus","Group","Attisvirus",5,2,0.0035,0.008,-0.131115762051895,0.0283785893230933,4.31497378353155e-05,0.000524329809342466,0.913124977796392,0.878590133253678,0.949017287489748
"Loughboroughvirus","Group","Loughboroughvirus",3,2,0.037,0.002,-0.113981423952769,0.0246756846535376,4.32902883164628e-05,0.000524329809342466,0.924034470177784,0.893570977537108,0.955536519807437
"Nickievirus","Group","Nickievirus",11,10,0.0185,0.017,-0.128220550860872,0.0277709574027409,4.35720959779216e-05,0.000524329809342466,0.914959283760552,0.881082106426739,0.950139022042698
"Betterkatzvirus","Group","Betterkatzvirus",3,3,0.006,0.004,-0.128026089157844,0.0277323524138132,4.36506659803691e-05,0.000524329809342466,0.915082619966259,0.881247094013616,0.950217262618713
"Chopinvirus","Group","Chopinvirus",1,2,0.001,0.0115,-0.133771056347905,0.0289772974053425,4.36613729258852e-05,0.000524329809342466,0.911445908013515,0.876261537985337,0.948043029646796
"Vedamuthuvirus","Group","Vedamuthuvirus",3,2,0.0015,0.0085,-0.132295938411311,0.02866221764448,4.37580493866256e-05,0.000524329809342466,0.912378314209127,0.877533505036637,0.948606729499559
"Metamorphoovirus","Group","Metamorphoovirus",9,9,0.015,0.01,-0.126534602489049,0.0274386049402988,4.43191892436336e-05,0.000524329809342466,0.916029139659579,0.882510734421554,0.950820598522766
"Paraburkholderia","Group","Paraburkholderia",20,20,44.0345,20.414,0.250002407669992,0.054214389190692,4.43447850140283e-05,0.000524329809342466,1.18920909963606,1.10476705636124,1.28010540730207
"Korravirus","Group","Korravirus",7,6,0.07,0.1215,-0.147494945739913,0.0319979601581684,4.45988851269301e-05,0.000524329809342466,0.902816727461135,0.864410829844163,0.942929004638428
"Chuhaivirus","Group","Chuhaivirus",3,4,0.0015,0.006,-0.131183881352622,0.0284601076230734,4.46147862625253e-05,0.000524329809342466,0.913081864064972,0.878451357817838,0.949077581888433
"Phlebovirus","Group","Phlebovirus",3,2,0.0015,0.007,-0.131600800387595,0.0285521262329098,4.4649593529607e-05,0.000524329809342466,0.912818034081289,0.878087754370889,0.948921971860325
"Cequinquevirus","Group","Cequinquevirus",3,5,0.0075,0.013,-0.131641167250365,0.0285624879809933,4.46851895853577e-05,0.000524329809342466,0.912792493628335,0.878050825128566,0.948908779058702
"Otagovirus","Group","Otagovirus",7,3,0.0045,0.007,-0.130139372046742,0.0282518050790162,4.50268832445856e-05,0.000524329809342466,0.913743173494379,0.879336396802254,0.949496222542164
"Deltanudivirus","Group","Deltanudivirus",3,3,0.003,0.0045,-0.129712795600271,0.02816690056161,4.52018043295036e-05,0.000524329809342466,0.91401338926132,0.879697903730376,0.949667462212141
"Ogataea","Group","Ogataea",17,18,0.089,0.1815,-0.157389438470656,0.0341834795416747,4.53265681671271e-05,0.000524329809342466,0.896646087980047,0.855957423345925,0.93926892291815
"Arvduovirus","Group","Arvduovirus",1,2,5e-04,0.009,-0.132993114001516,0.0288876489788121,4.53892774728375e-05,0.000524329809342466,0.911937518196671,0.876840957684593,0.948438858616648
"Prasinovirus","Group","Prasinovirus",12,13,0.0325,0.0365,-0.130755749499976,0.0284048389381918,4.54611614051335e-05,0.000524329809342466,0.913352868975259,0.878778066019981,0.949287989222945
"Epseptimavirus","Group","Epseptimavirus",3,3,0.0015,0.004,-0.130218710155624,0.0282996449703185,4.5723020954657e-05,0.000524329809342466,0.913692925410049,0.879230894411371,0.949505718294033
"Kyungwonvirus","Group","Kyungwonvirus",1,2,0.001,0.011,-0.133562672585747,0.0290350290503775,4.59166079002673e-05,0.000524329809342466,0.911577567331273,0.876319380362517,0.948254346398048
"Bertelyvirus","Group","Bertelyvirus",9,3,0.007,0.01,-0.130316462776243,0.0283295463993144,4.59213586796979e-05,0.000524329809342466,0.91363101845844,0.879135608449673,0.949479954931426
"Sextaecvirus","Group","Sextaecvirus",2,6,0.0145,0.0045,-0.124736494444136,0.0271212339616694,4.60346299702132e-05,0.000524329809342466,0.917171547577931,0.883992409543681,0.951596007618129
"Crocodylidpoxvirus","Group","Crocodylidpoxvirus",4,5,0.003,0.005,-0.12997890824415,0.0282621486420121,4.60592157766057e-05,0.000524329809342466,0.91384481026058,0.879421848352421,0.949615180478813
"Mooreparkvirus","Group","Mooreparkvirus",1,6,0.0035,0.041,-0.144063000345759,0.0313397486477241,4.63766193397422e-05,0.000524329809342466,0.904966943460171,0.867244741122033,0.944329933550332
"Erskinevirus","Group","Erskinevirus",3,1,0.003,0.0095,-0.13188844942575,0.0287054984697107,4.67028855711435e-05,0.000524329809342466,0.912636051716564,0.877729787245326,0.948930496601686
"Vespertilionpoxvirus","Group","Vespertilionpoxvirus",9,7,0.011,0.0125,-0.129675254164944,0.0282291946386682,4.68293132580107e-05,0.000524329809342466,0.914037173789595,0.879646347001152,0.949772551113858
"Jujuvirus","Group","Jujuvirus",2,3,0.0025,0.0025,-0.128995635245105,0.0280824369493814,4.68573609302645e-05,0.000524329809342466,0.914467856142817,0.880236309193241,0.950030635165329
"Lessievirus","Group","Lessievirus",6,4,0.0055,0.0035,-0.127985587877655,0.0278731678923818,4.71103540628876e-05,0.000524329809342466,0.915108309759853,0.881103256158212,0.95042574492673
"Northamptonvirus","Group","Northamptonvirus",2,2,0.002,0.003,-0.129470374520822,0.0281992596988309,4.71748224893417e-05,0.000524329809342466,0.914166987023371,0.87980705583803,0.949868808868972
"Shapirovirus","Group","Shapirovirus",5,3,0.007,0.005,-0.127990225387363,0.0278855263961672,4.73819923457624e-05,0.000524329809342466,0.91510536817017,0.881085630436228,0.95043864742097
"Marisediminicola","Group","Marisediminicola",20,19,0.1845,0.105,-0.101065183814884,0.0220446230491198,4.8156592944954e-05,0.000524329809342466,0.932344360323254,0.904835448109732,0.960689601675685
"Cepunavirus","Group","Cepunavirus",2,2,0.0015,0.007,-0.131578891933192,0.0287050878164369,4.82685873222314e-05,0.000524329809342466,0.91283189604349,0.87791863076096,0.949133599901053
"Oryzopoxvirus","Group","Oryzopoxvirus",10,11,0.0095,0.015,-0.13171069964135,0.0287348179304141,4.82916860950889e-05,0.000524329809342466,0.91274850157644,0.877802970373642,0.949085222137513
"Chiangmaivirus","Group","Chiangmaivirus",6,7,0.0065,0.008,-0.12972946303255,0.0283047588284382,4.83441425623784e-05,0.000524329809342466,0.914002829740538,0.879522999456473,0.949834368504259
"Cobrasixvirus","Group","Cobrasixvirus",1,2,0.0015,0.0055,-0.130902551745472,0.0285629725573259,4.83982319540124e-05,0.000524329809342466,0.913259934968612,0.878499896905682,0.949395340576139
"Mementomorivirus","Group","Mementomorivirus",8,5,0.0105,0.0055,-0.126536204018044,0.0276115763782189,4.84314017961288e-05,0.000524329809342466,0.916028122780494,0.882302395022616,0.951043005729625
"Candidatus Methanoliparum","Group","Candidatus Methanoliparum",18,13,0.058,0.135,-0.154461302928852,0.0337189277121558,4.87113853287546e-05,0.000524329809342466,0.898467794857987,0.858237948409569,0.940583412668837
"Gammascleroulivirus","Group","Gammascleroulivirus",0,3,0,0.008,-0.132807190815778,0.0290069665824116,4.90707393720771e-05,0.000524329809342466,0.912055049101954,0.876811821618182,0.948714869123427
"Bottigliavirus","Group","Bottigliavirus",2,5,0.0015,0.0075,-0.13194384995924,0.0288185229455438,4.90736689450117e-05,0.000524329809342466,0.912601006504688,0.877561321239269,0.949039772966811
"Cheoctovirus","Group","Cheoctovirus",4,1,0.006,0.001,-0.126515127722363,0.0276333252238542,4.90865949502833e-05,0.000524329809342466,0.916041505110123,0.882289215004579,0.951085001169446
"Candidatus Nanohalovita","Group","Candidatus Nanohalovita",8,7,0.0075,0.0065,-0.128453809891098,0.0280568951092928,4.90896639034712e-05,0.000524329809342466,0.914811362504341,0.880597513480899,0.950354521964253
"Quhwahvirus","Group","Quhwahvirus",7,4,0.009,0.0095,-0.129055858970501,0.0281889068227136,4.91022201054386e-05,0.000524329809342466,0.914429683479826,0.880072256780294,0.950128400920339
"Betanudivirus","Group","Betanudivirus",2,4,0.0015,0.0075,-0.131857691847183,0.0288015407474892,4.91177309177596e-05,0.000524329809342466,0.91265550889462,0.877633979068112,0.949074554747901
"Wphvirus","Group","Wphvirus",3,3,0.0025,0.0035,-0.129479922360731,0.0282887757631555,4.9279529277172e-05,0.000524329809342466,0.914160937032962,0.879694243862928,0.949978045925693
"Gemytripvirus","Group","Gemytripvirus",2,3,0.001,0.0045,-0.130698913659592,0.0285552571802846,4.9283322553687e-05,0.000524329809342466,0.91338885177062,0.878633116609623,0.949519405503495
"Rotavirus","Group","Rotavirus",7,7,0.0175,0.0275,-0.133277164893345,0.0291244637683311,4.94241959203556e-05,0.000524329809342466,0.911757985337041,0.876386329920518,0.948557269145508
"Luzseptimavirus","Group","Luzseptimavirus",3,3,0.0025,0.004,-0.129710361949654,0.0283551700394413,4.96735849043579e-05,0.000524329809342466,0.914014931091757,0.879474409597851,0.949911998736467
"Alphavirus","Group","Alphavirus",2,1,0.0015,0.003,-0.129707879866992,0.028358926948514,4.97796112947736e-05,0.000524329809342466,0.914016503608818,0.879471433839986,0.94991848140151
"Justusliebigvirus","Group","Justusliebigvirus",2,3,0.006,0.002,-0.127076644547998,0.0277850496038242,4.98150879742376e-05,0.000524329809342466,0.915685038486181,0.881764107711731,0.950910886907587
"Innesvirus","Group","Innesvirus",13,13,0.022,0.0145,-0.125326317528302,0.0274040291892419,4.9858173864466e-05,0.000524329809342466,0.916796653114905,0.883291654154713,0.951572562934542
"Charlievirus","Group","Charlievirus",3,4,0.0015,0.0025,-0.129487271744627,0.0283162504148788,4.99171530227157e-05,0.000524329809342466,0.914156280121857,0.879656927672372,0.95000866610293
"Bequatrovirus","Group","Bequatrovirus",3,4,0.002,0.008,-0.13190170837112,0.0288461085851364,4.99626560180166e-05,0.000524329809342466,0.912627664264188,0.877554066770558,0.949103063980299
"Watanabevirus","Group","Watanabevirus",0,4,0,0.0035,-0.130741944050617,0.0285969873498373,5.00735932758626e-05,0.000524329809342466,0.913361609080931,0.878557100835879,0.949544916487731
"Siadenovirus","Group","Siadenovirus",1,5,5e-04,0.005,-0.1312384008232,0.0287185539803996,5.03925968593222e-05,0.000524329809342466,0.913047359337489,0.878109788279771,0.949375000165188
"Julieunavirus","Group","Julieunavirus",5,5,0.0035,0.004,-0.129235344450365,0.0282826116523237,5.04522270190157e-05,0.000524329809342466,0.914315926492511,0.879850757902738,0.950131151140374
"Lysobacter","Group","Lysobacter",20,20,27.4455,10.4705,0.305468544356779,0.06688013620293,5.07671211119474e-05,0.000524329809342466,1.235819929445,1.12848205520956,1.35336746469559
"Acadianvirus","Group","Acadianvirus",2,2,0.003,0.0015,-0.128251978745106,0.0280934011551604,5.11121100902111e-05,0.000524329809342466,0.914939352367962,0.880677037428115,0.950534626128293
"Loessnervirus","Group","Loessnervirus",1,3,5e-04,0.002,-0.12973919903889,0.0284265433768019,5.129832331861e-05,0.000524329809342466,0.913996661626649,0.879371557638751,0.949985123134765
"Amnibacterium","Group","Amnibacterium",2,4,0.001,0.0035,-0.130235655811474,0.0285415369686925,5.14552783896035e-05,0.000524329809342466,0.913682193388037,0.878931679163679,0.949806646301242
"Coopervirus","Group","Coopervirus",9,5,0.0075,0.0065,-0.128498156780595,0.0281651120719209,5.15669071809514e-05,0.000524329809342466,0.914783242621944,0.880440993193152,0.950465036784508
"Halovibrio","Group","Halovibrio",1,2,0.0055,0.0075,-0.12997890824415,0.0284922585710194,5.16325376698459e-05,0.000524329809342466,0.91384481026058,0.879146966379627,0.949912095675234
"Gammapleolipovirus","Group","Gammapleolipovirus",1,3,5e-04,0.0025,-0.129988644250491,0.0284955880899478,5.16629049678899e-05,0.000524329809342466,0.91383864321308,0.879137056809737,0.949909982022581
"Dybvigvirus","Group","Dybvigvirus",1,5,5e-04,0.0045,-0.130984135338539,0.0287206961150817,5.18366643220122e-05,0.000524329809342466,0.913208292093187,0.878262007022386,0.949545099389115
"Caldivirga","Group","Caldivirga",15,9,0.018,0.022,-0.13053555140183,0.028630526305132,5.20448630561475e-05,0.000524329809342466,0.913492284380523,0.878642760388775,0.949724041718066
"Alphasphaerolipovirus","Group","Alphasphaerolipovirus",2,3,0.0015,0.0015,-0.128988381321427,0.0282935021523954,5.21046371934684e-05,0.000524329809342466,0.914472454132359,0.879988365272679,0.95030787038614
